"","estimator","estimate","r","n"
"227","PS",-0.0269752624472165,-0.99,2000
"228","HML",0.972244512808059,-0.99,2000
"229","LS",0.520310668795414,-0.99,2000
"230","PS",-0.0971904937924856,-0.99,2000
"231","HML",0.983192830671536,-0.99,2000
"232","LS",0.511975803787225,-0.99,2000
"233","PS",0.0038071147826772,-0.99,2000
"234","HML",0.923038383057573,-0.99,2000
"235","LS",0.527511646227776,-0.99,2000
"236","PS",-0.105967032777282,-0.99,2000
"237","HML",0.896195819057669,-0.99,2000
"238","LS",0.58542099694846,-0.99,2000
"239","PS",0.203283349827557,-0.99,2000
"240","HML",0.908040476063932,-0.99,2000
"241","LS",0.548474520874799,-0.99,2000
"242","PS",0.25687355929734,-0.99,2000
"243","HML",0.923552058298372,-0.99,2000
"244","LS",0.590052769550171,-0.99,2000
"245","PS",-0.211131328964902,-0.99,2000
"246","HML",1.08120561980888,-0.99,2000
"247","LS",0.587753693834447,-0.99,2000
"248","PS",0.30321153680714,-0.99,2000
"249","HML",0.911045895074086,-0.99,2000
"250","LS",0.634820734718663,-0.99,2000
"251","PS",0.0955502432820808,-0.99,2000
"252","HML",0.986378356150071,-0.99,2000
"253","LS",0.54326413206052,-0.99,2000
"254","PS",0.190426541926669,-0.99,2000
"255","HML",1.0081102679254,-0.99,2000
"256","LS",0.568147557782069,-0.99,2000
"257","PS",-0.176773634131095,-0.99,2000
"258","HML",0.987661960399691,-0.99,2000
"259","LS",0.624099505323193,-0.99,2000
"260","PS",-0.120807981879808,-0.99,2000
"261","HML",1.01633150815056,-0.99,2000
"262","LS",0.65452779876284,-0.99,2000
"263","PS",-0.00582221674155878,-0.99,2000
"264","HML",1.14510739174832,-0.99,2000
"265","LS",0.577933371157901,-0.99,2000
"266","PS",0.00823656701152333,-0.99,2000
"267","HML",0.936200893302999,-0.99,2000
"268","LS",0.617065414551274,-0.99,2000
"269","PS",0.0382155443216045,-0.99,2000
"270","HML",0.987580150267065,-0.99,2000
"271","LS",0.602323735309311,-0.99,2000
"272","PS",0.236634199718434,-0.99,2000
"273","HML",0.986055488249482,-0.99,2000
"274","LS",0.570122555684805,-0.99,2000
"275","PS",0.0785580345762538,-0.99,2000
"276","HML",1.0159858918784,-0.99,2000
"277","LS",0.673681006100563,-0.99,2000
"278","PS",0.112253935056739,-0.99,2000
"279","HML",1.0543458903106,-0.99,2000
"280","LS",0.604775846606708,-0.99,2000
"281","PS",-0.0568903329251538,-0.99,2000
"282","HML",1.04734916647924,-0.99,2000
"283","LS",0.590126142591554,-0.99,2000
"284","PS",-0.221414200031178,-0.99,2000
"285","HML",1.00658267965422,-0.99,2000
"286","LS",0.594529717345194,-0.99,2000
"287","PS",-0.210657588035482,-0.99,2000
"288","HML",0.9888107270939,-0.99,2000
"289","LS",0.578319631842419,-0.99,2000
"290","PS",-0.316529442318194,-0.99,2000
"291","HML",0.959209756125863,-0.99,2000
"292","LS",0.572641976301694,-0.99,2000
"293","PS",0.101080042362997,-0.99,2000
"294","HML",1.02259656637874,-0.99,2000
"295","LS",0.552199579720172,-0.99,2000
"296","PS",-0.00170225851533083,-0.99,2000
"297","HML",0.818719821713532,-0.99,2000
"298","LS",0.633149380152427,-0.99,2000
"299","PS",0.0197180918842503,-0.99,2000
"300","HML",0.99857629770393,-0.99,2000
"301","LS",0.561872643022418,-0.98,2000
"302","PS",-0.306380865736624,-0.98,2000
"303","HML",0.921617723624358,-0.98,2000
"304","LS",0.622796340835371,-0.98,2000
"305","PS",0.00418125781422775,-0.98,2000
"306","HML",0.964496955639359,-0.98,2000
"307","LS",0.666585627775777,-0.98,2000
"308","PS",0.501865793637712,-0.98,2000
"309","HML",1.06621899871285,-0.98,2000
"310","LS",0.608024092771368,-0.98,2000
"311","PS",0.290931591739957,-0.98,2000
"312","HML",1.07837612887443,-0.98,2000
"313","LS",0.563403784572279,-0.98,2000
"314","PS",-0.0242766220858818,-0.98,2000
"315","HML",1.0083542690651,-0.98,2000
"316","LS",0.635620015084937,-0.98,2000
"317","PS",-0.154429102294732,-0.98,2000
"318","HML",1.06313418425845,-0.98,2000
"319","LS",0.553153049408468,-0.98,2000
"320","PS",-0.0113684891344466,-0.98,2000
"321","HML",0.984105404880231,-0.98,2000
"322","LS",0.558632059186024,-0.98,2000
"323","PS",0.0315739663825879,-0.98,2000
"324","HML",0.909846616713215,-0.98,2000
"325","LS",0.581443448849713,-0.98,2000
"326","PS",0.448806656633739,-0.98,2000
"327","HML",0.929416846351713,-0.98,2000
"328","LS",0.645340098815036,-0.98,2000
"329","PS",0.0184264503211453,-0.98,2000
"330","HML",1.0309289543842,-0.98,2000
"331","LS",0.600668168232302,-0.98,2000
"332","PS",0.353117114958417,-0.98,2000
"333","HML",0.948535708928108,-0.98,2000
"334","LS",0.610919551735286,-0.98,2000
"335","PS",-0.0632044763867691,-0.98,2000
"336","HML",1.05296990647516,-0.98,2000
"337","LS",0.561298270649435,-0.98,2000
"338","PS",-0.160495203143343,-0.98,2000
"339","HML",1.03584739657675,-0.98,2000
"340","LS",0.557325156518899,-0.98,2000
"341","PS",-0.364304866561561,-0.98,2000
"342","HML",0.974773049763666,-0.98,2000
"343","LS",0.615143073905319,-0.98,2000
"344","PS",-0.373487424599185,-0.98,2000
"345","HML",1.03846340576917,-0.98,2000
"346","LS",0.651638037999979,-0.98,2000
"347","PS",-0.0375176656824869,-0.98,2000
"348","HML",1.01343988889088,-0.98,2000
"349","LS",0.60370206282141,-0.98,2000
"350","PS",-5.51279079600278e-05,-0.98,2000
"351","HML",1.05303806656106,-0.98,2000
"352","LS",0.587721045858176,-0.98,2000
"353","PS",-0.0741414131295342,-0.98,2000
"354","HML",1.02063209342414,-0.98,2000
"355","LS",0.570286348284306,-0.98,2000
"356","PS",0.0614846767163984,-0.98,2000
"357","HML",0.977620294861953,-0.98,2000
"358","LS",0.6705902330428,-0.98,2000
"359","PS",0.0149990624719938,-0.98,2000
"360","HML",1.01980255173291,-0.98,2000
"361","LS",0.638908556302441,-0.98,2000
"362","PS",-0.0275687002512538,-0.98,2000
"363","HML",1.0425535262852,-0.98,2000
"364","LS",0.65775376519586,-0.98,2000
"365","PS",-0.172339641276146,-0.98,2000
"366","HML",0.905566335448004,-0.98,2000
"367","LS",0.623560283754433,-0.98,2000
"368","PS",0.165320911673483,-0.98,2000
"369","HML",1.05111576494841,-0.98,2000
"370","LS",0.717025066680163,-0.98,2000
"371","PS",-0.0285630051056969,-0.98,2000
"372","HML",1.13457107119359,-0.98,2000
"373","LS",0.629571925028972,-0.98,2000
"374","PS",0.628975535903505,-0.98,2000
"375","HML",1.05957346725293,-0.98,2000
"376","LS",0.664679208117527,-0.98,2000
"377","PS",0.404269189186597,-0.98,2000
"378","HML",1.04742755096492,-0.98,2000
"379","LS",0.569642424826127,-0.98,2000
"380","PS",-0.335366615607498,-0.98,2000
"381","HML",0.972282895193557,-0.98,2000
"382","LS",0.656557288634779,-0.98,2000
"383","PS",0.185472713405962,-0.98,2000
"384","HML",1.15208320553461,-0.98,2000
"385","LS",0.605698509897376,-0.98,2000
"386","PS",0.177133766959188,-0.98,2000
"387","HML",1.00783277514925,-0.98,2000
"388","LS",0.572883790492957,-0.98,2000
"389","PS",0.0239132889267508,-0.98,2000
"390","HML",0.973800104715099,-0.98,2000
"391","LS",0.524348692876545,-0.98,2000
"392","PS",-0.076974599158229,-0.98,2000
"393","HML",0.935687455287817,-0.98,2000
"394","LS",0.572700360343343,-0.98,2000
"395","PS",-0.0127572191551432,-0.98,2000
"396","HML",0.945328022145466,-0.98,2000
"397","LS",0.68580880868337,-0.98,2000
"398","PS",0.332936347541602,-0.98,2000
"399","HML",1.01088584380781,-0.98,2000
"400","LS",0.64493665118018,-0.98,2000
"401","PS",0.117807855833423,-0.98,2000
"402","HML",1.06684086865532,-0.98,2000
"403","LS",0.61952628276929,-0.98,2000
"404","PS",-0.00259986015793515,-0.98,2000
"405","HML",1.06499904419477,-0.98,2000
"406","LS",0.578880285540282,-0.98,2000
"407","PS",-0.175161416172362,-0.98,2000
"408","HML",0.94642912162082,-0.98,2000
"409","LS",0.697819372739756,-0.98,2000
"410","PS",0.26971655219585,-0.98,2000
"411","HML",1.06236302067593,-0.98,2000
"412","LS",0.587591322240262,-0.98,2000
"413","PS",0.00893770863966795,-0.98,2000
"414","HML",1.03318106690241,-0.98,2000
"415","LS",0.650879048530865,-0.98,2000
"416","PS",0.21490935017556,-0.98,2000
"417","HML",1.02728951182789,-0.98,2000
"418","LS",0.604477810805439,-0.98,2000
"419","PS",1.09405571558383,-0.98,2000
"420","HML",0.886509968669442,-0.98,2000
"421","LS",0.526029055806137,-0.98,2000
"422","PS",0.0935321923080698,-0.98,2000
"423","HML",0.814534524742194,-0.98,2000
"424","LS",0.591670886217966,-0.98,2000
"425","PS",-0.31964084692949,-0.98,2000
"426","HML",1.04712264117662,-0.98,2000
"427","LS",0.555856639269435,-0.98,2000
"428","PS",0.118758148116333,-0.98,2000
"429","HML",0.906134380628073,-0.98,2000
"430","LS",0.564127416103373,-0.98,2000
"431","PS",0.686592149648286,-0.98,2000
"432","HML",0.981154697747498,-0.98,2000
"433","LS",0.595082546874788,-0.98,2000
"434","PS",0.228211351438327,-0.98,2000
"435","HML",0.960518263523685,-0.98,2000
"436","LS",0.614866037447497,-0.98,2000
"437","PS",-0.637682014056784,-0.98,2000
"438","HML",1.17986961018852,-0.98,2000
"439","LS",0.599607548816442,-0.98,2000
"440","PS",-0.0184032827750506,-0.98,2000
"441","HML",1.03961000493805,-0.98,2000
"442","LS",0.561599015593125,-0.98,2000
"443","PS",-0.173998981507868,-0.98,2000
"444","HML",1.0862645661632,-0.98,2000
"445","LS",0.683300380091067,-0.98,2000
"446","PS",0.177764255742018,-0.98,2000
"447","HML",1.02514710751609,-0.98,2000
"448","LS",0.626021465186933,-0.98,2000
"449","PS",-0.0692390952878713,-0.98,2000
"450","HML",1.04314492730286,-0.98,2000
"451","LS",0.64450960501327,-0.98,2000
"452","PS",0.457043052441247,-0.98,2000
"453","HML",0.98673373899336,-0.98,2000
"454","LS",0.525443018488454,-0.98,2000
"455","PS",-0.105493045958292,-0.98,2000
"456","HML",0.965474219974328,-0.98,2000
"457","LS",0.604045823838759,-0.98,2000
"458","PS",0.162890493169276,-0.98,2000
"459","HML",0.959084307458994,-0.98,2000
"460","LS",0.630764660157206,-0.98,2000
"461","PS",0.20780021802416,-0.98,2000
"462","HML",1.00396683727589,-0.98,2000
"463","LS",0.519819053820401,-0.98,2000
"464","PS",-0.0682632166916495,-0.98,2000
"465","HML",1.0266412489284,-0.98,2000
"466","LS",0.59802438238224,-0.98,2000
"467","PS",0.286911694720417,-0.98,2000
"468","HML",1.01238382486765,-0.98,2000
"469","LS",0.563821775839655,-0.98,2000
"470","PS",-0.343197992003128,-0.98,2000
"471","HML",0.909421942899037,-0.98,2000
"472","LS",0.55645507033456,-0.98,2000
"473","PS",-0.225042759346961,-0.98,2000
"474","HML",0.982074152279857,-0.98,2000
"475","LS",0.548905531247302,-0.98,2000
"476","PS",0.0641713229753161,-0.98,2000
"477","HML",0.93823269387068,-0.98,2000
"478","LS",0.536176561497057,-0.98,2000
"479","PS",-0.29398918689853,-0.98,2000
"480","HML",0.97890081716854,-0.98,2000
"481","LS",0.590746620837258,-0.98,2000
"482","PS",-0.4062276230517,-0.98,2000
"483","HML",1.0107073422184,-0.98,2000
"484","LS",0.645025725502008,-0.98,2000
"485","PS",-0.190345425623777,-0.98,2000
"486","HML",1.02435096323505,-0.98,2000
"487","LS",0.661508265761721,-0.98,2000
"488","PS",0.174727171844954,-0.98,2000
"489","HML",1.13757153300066,-0.98,2000
"490","LS",0.612409577117841,-0.98,2000
"491","PS",0.0726241892454039,-0.98,2000
"492","HML",1.03424874671024,-0.98,2000
"493","LS",0.646578787218359,-0.98,2000
"494","PS",0.0759618298755086,-0.98,2000
"495","HML",1.00093463396698,-0.98,2000
"496","LS",0.585317684985342,-0.98,2000
"497","PS",0.0176902730106073,-0.98,2000
"498","HML",1.01381093384161,-0.98,2000
"499","LS",0.624351936902636,-0.98,2000
"500","PS",0.194973200536735,-0.98,2000
"501","HML",1.07671476053774,-0.98,2000
"502","LS",0.628797430498876,-0.98,2000
"503","PS",0.130972495669453,-0.98,2000
"504","HML",1.03288482008019,-0.98,2000
"505","LS",0.57007316687064,-0.98,2000
"506","PS",-0.370618009908928,-0.98,2000
"507","HML",1.0925856344247,-0.98,2000
"508","LS",0.593359761389663,-0.98,2000
"509","PS",0.0201909832140702,-0.98,2000
"510","HML",0.992611371141177,-0.98,2000
"511","LS",0.64586118455683,-0.98,2000
"512","PS",-0.130909436093789,-0.98,2000
"513","HML",1.09793365540755,-0.98,2000
"514","LS",0.519571479819041,-0.98,2000
"515","PS",-0.0926523192452157,-0.98,2000
"516","HML",0.935340345657031,-0.98,2000
"517","LS",0.655488243036426,-0.98,2000
"518","PS",0.412978896492406,-0.98,2000
"519","HML",0.971819118460324,-0.98,2000
"520","LS",0.639419443826713,-0.98,2000
"521","PS",0.685310854183964,-0.98,2000
"522","HML",1.0223421606961,-0.98,2000
"523","LS",0.631152264051219,-0.98,2000
"524","PS",0.200041896429336,-0.98,2000
"525","HML",1.04356557584574,-0.98,2000
"526","LS",0.573811593020856,-0.98,2000
"527","PS",0.049182371682893,-0.98,2000
"528","HML",1.01703614029859,-0.98,2000
"529","LS",0.494011710991695,-0.98,2000
"530","PS",0.279121591422608,-0.98,2000
"531","HML",0.855952893210844,-0.98,2000
"532","LS",0.55502484133548,-0.98,2000
"533","PS",0.164537487494274,-0.98,2000
"534","HML",0.996214404072569,-0.98,2000
"535","LS",0.611495515282995,-0.98,2000
"536","PS",0.0747688939386499,-0.98,2000
"537","HML",1.02815293430324,-0.98,2000
"538","LS",0.604401731124526,-0.98,2000
"539","PS",0.127463453653662,-0.98,2000
"540","HML",0.963528091292208,-0.98,2000
"541","LS",0.605801858407332,-0.98,2000
"542","PS",0.483299303748549,-0.98,2000
"543","HML",1.03753645385594,-0.98,2000
"544","LS",0.547389432362505,-0.98,2000
"545","PS",0.05704439516089,-0.98,2000
"546","HML",0.961041086312298,-0.98,2000
"547","LS",0.652631892391043,-0.98,2000
"548","PS",-0.195141910374739,-0.98,2000
"549","HML",1.06271164132139,-0.98,2000
"550","LS",0.578310713626837,-0.98,2000
"551","PS",-0.145571742314628,-0.98,2000
"552","HML",1.08038354893624,-0.98,2000
"553","LS",0.668785240363971,-0.98,2000
"554","PS",-0.187253809475865,-0.98,2000
"555","HML",1.10078379680646,-0.98,2000
"556","LS",0.608005892753512,-0.98,2000
"557","PS",-0.231958135106979,-0.98,2000
"558","HML",0.998339612713507,-0.98,2000
"559","LS",0.618456550745728,-0.98,2000
"560","PS",-0.145347898853461,-0.98,2000
"561","HML",0.988726056183135,-0.98,2000
"562","LS",0.705904803299037,-0.98,2000
"563","PS",0.0818690878079382,-0.98,2000
"564","HML",1.20017860660086,-0.98,2000
"565","LS",0.648571211810402,-0.98,2000
"566","PS",0.0856748177488854,-0.98,2000
"567","HML",1.22943846108684,-0.98,2000
"568","LS",0.697009966255726,-0.98,2000
"569","PS",0.486693698424635,-0.98,2000
"570","HML",1.13418923028407,-0.98,2000
"571","LS",0.655815329753445,-0.98,2000
"572","PS",0.0217988453160733,-0.98,2000
"573","HML",1.07316971701213,-0.98,2000
"574","LS",0.625615779712559,-0.98,2000
"575","PS",-0.0282382288412307,-0.98,2000
"576","HML",0.974827505069741,-0.98,2000
"577","LS",0.511835177590804,-0.98,2000
"578","PS",-0.168827132147159,-0.98,2000
"579","HML",0.770013345881316,-0.98,2000
"580","LS",0.629231155418023,-0.98,2000
"581","PS",-0.231728015872033,-0.98,2000
"582","HML",0.979038083137364,-0.98,2000
"583","LS",0.595414262159821,-0.98,2000
"584","PS",0.282785281689813,-0.98,2000
"585","HML",0.890173349062246,-0.98,2000
"586","LS",0.569196894203239,-0.98,2000
"587","PS",0.235835817099716,-0.98,2000
"588","HML",0.951847765332844,-0.98,2000
"589","LS",0.609693764660301,-0.98,2000
"590","PS",0.521328273444108,-0.98,2000
"591","HML",0.99383701268739,-0.98,2000
"592","LS",0.580834207598439,-0.98,2000
"593","PS",0.131803776243572,-0.98,2000
"594","HML",1.05281722825592,-0.98,2000
"595","LS",0.567798667298543,-0.98,2000
"596","PS",0.0236651045799584,-0.98,2000
"597","HML",0.969877490173293,-0.98,2000
"598","LS",0.617596347515737,-0.98,2000
"599","PS",-0.588368373080791,-0.98,2000
"600","HML",1.07924192662943,-0.98,2000
"601","LS",0.623822808684368,-0.97,2000
"602","PS",-0.262888713779854,-0.97,2000
"603","HML",1.0538618048515,-0.97,2000
"604","LS",0.679242623063943,-0.97,2000
"605","PS",0.181530844619759,-0.97,2000
"606","HML",1.09661166054128,-0.97,2000
"607","LS",0.71872586031622,-0.97,2000
"608","PS",-0.0217379303661601,-0.97,2000
"609","HML",1.132558019048,-0.97,2000
"610","LS",0.564450845739767,-0.97,2000
"611","PS",-0.127711833705085,-0.97,2000
"612","HML",0.960264727659166,-0.97,2000
"613","LS",0.52620049379072,-0.97,2000
"614","PS",0.109187443335804,-0.97,2000
"615","HML",0.895639939732179,-0.97,2000
"616","LS",0.639164485573635,-0.97,2000
"617","PS",0.476810167033855,-0.97,2000
"618","HML",1.00675000878266,-0.97,2000
"619","LS",0.658994086492031,-0.97,2000
"620","PS",0.0987185056986788,-0.97,2000
"621","HML",0.945426150251529,-0.97,2000
"622","LS",0.570394984224412,-0.97,2000
"623","PS",-0.237083222162477,-0.97,2000
"624","HML",0.952195180882337,-0.97,2000
"625","LS",0.590181341771076,-0.97,2000
"626","PS",-0.158841502815529,-0.97,2000
"627","HML",0.933824646668576,-0.97,2000
